title,author,isbn,category,publisher,publishedYear,quantity,availableQuantity,language,description,coverImage
AI & Machine Learning Essentials Vol. 182,Author 32,9780000000182,AI & Machine Learning,AI Publications,2006,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+182
Data Science Essentials Vol. 183,Author 33,9780000000183,Data Science,Data Insights,2007,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+183
Web Development Essentials Vol. 184,Author 34,9780000000184,Web Development,Web House,2008,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+184
Database Essentials Vol. 185,Author 35,9780000000185,Database,DB World,2009,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+185
Cyber Security Essentials Vol. 186,Author 36,9780000000186,Cyber Security,Secure Books,2010,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+186
Cloud Computing Essentials Vol. 187,Author 37,9780000000187,Cloud Computing,Cloud Press,2011,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+187
Fiction Essentials Vol. 188,Author 38,9780000000188,Fiction,Novel House,2012,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+188
History Essentials Vol. 189,Author 39,9780000000189,History,Heritage Press,2013,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+189
Business Essentials Vol. 190,Author 40,9780000000190,Business,Business Media,2014,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+190
Programming Essentials Vol. 191,Author 41,9780000000191,Programming,TechPress,2015,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+191
AI & Machine Learning Essentials Vol. 192,Author 42,9780000000192,AI & Machine Learning,AI Publications,2016,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+192
Data Science Essentials Vol. 193,Author 43,9780000000193,Data Science,Data Insights,2017,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+193
Web Development Essentials Vol. 194,Author 44,9780000000194,Web Development,Web House,2018,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+194
Database Essentials Vol. 195,Author 45,9780000000195,Database,DB World,2019,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+195
Cyber Security Essentials Vol. 196,Author 46,9780000000196,Cyber Security,Secure Books,2020,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+196
Cloud Computing Essentials Vol. 197,Author 47,9780000000197,Cloud Computing,Cloud Press,2021,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+197
Fiction Essentials Vol. 198,Author 48,9780000000198,Fiction,Novel House,2022,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+198
History Essentials Vol. 199,Author 49,9780000000199,History,Heritage Press,2023,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+199
Business Essentials Vol. 200,Author 50,9780000000200,Business,Business Media,2024,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+200
Programming Essentials Vol. 201,Author 51,9780000000201,Programming,TechPress,2000,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+201
AI & Machine Learning Essentials Vol. 202,Author 52,9780000000202,AI & Machine Learning,AI Publications,2001,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+202
Data Science Essentials Vol. 203,Author 53,9780000000203,Data Science,Data Insights,2002,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+203
Web Development Essentials Vol. 204,Author 54,9780000000204,Web Development,Web House,2003,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+204
Database Essentials Vol. 205,Author 55,9780000000205,Database,DB World,2004,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+205
Cyber Security Essentials Vol. 206,Author 56,9780000000206,Cyber Security,Secure Books,2005,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+206
Cloud Computing Essentials Vol. 207,Author 57,9780000000207,Cloud Computing,Cloud Press,2006,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+207
Fiction Essentials Vol. 208,Author 58,9780000000208,Fiction,Novel House,2007,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+208
History Essentials Vol. 209,Author 59,9780000000209,History,Heritage Press,2008,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+209
Business Essentials Vol. 210,Author 60,9780000000210,Business,Business Media,2009,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+210
Programming Essentials Vol. 211,Author 61,9780000000211,Programming,TechPress,2010,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+211
AI & Machine Learning Essentials Vol. 212,Author 62,9780000000212,AI & Machine Learning,AI Publications,2011,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+212
Data Science Essentials Vol. 213,Author 63,9780000000213,Data Science,Data Insights,2012,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+213
Web Development Essentials Vol. 214,Author 64,9780000000214,Web Development,Web House,2013,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+214
Database Essentials Vol. 215,Author 65,9780000000215,Database,DB World,2014,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+215
Cyber Security Essentials Vol. 216,Author 66,9780000000216,Cyber Security,Secure Books,2015,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+216
Cloud Computing Essentials Vol. 217,Author 67,9780000000217,Cloud Computing,Cloud Press,2016,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+217
Fiction Essentials Vol. 218,Author 68,9780000000218,Fiction,Novel House,2017,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+218
History Essentials Vol. 219,Author 69,9780000000219,History,Heritage Press,2018,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+219
Business Essentials Vol. 220,Author 70,9780000000220,Business,Business Media,2019,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+220
Programming Essentials Vol. 221,Author 71,9780000000221,Programming,TechPress,2020,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+221
AI & Machine Learning Essentials Vol. 222,Author 72,9780000000222,AI & Machine Learning,AI Publications,2021,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+222
Data Science Essentials Vol. 223,Author 73,9780000000223,Data Science,Data Insights,2022,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+223
Web Development Essentials Vol. 224,Author 74,9780000000224,Web Development,Web House,2023,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+224
Database Essentials Vol. 225,Author 75,9780000000225,Database,DB World,2024,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+225
Cyber Security Essentials Vol. 226,Author 1,9780000000226,Cyber Security,Secure Books,2000,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+226
Cloud Computing Essentials Vol. 227,Author 2,9780000000227,Cloud Computing,Cloud Press,2001,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+227
Fiction Essentials Vol. 228,Author 3,9780000000228,Fiction,Novel House,2002,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+228
History Essentials Vol. 229,Author 4,9780000000229,History,Heritage Press,2003,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+229
Business Essentials Vol. 230,Author 5,9780000000230,Business,Business Media,2004,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+230
Programming Essentials Vol. 231,Author 6,9780000000231,Programming,TechPress,2005,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+231
AI & Machine Learning Essentials Vol. 232,Author 7,9780000000232,AI & Machine Learning,AI Publications,2006,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+232
Data Science Essentials Vol. 233,Author 8,9780000000233,Data Science,Data Insights,2007,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+233
Web Development Essentials Vol. 234,Author 9,9780000000234,Web Development,Web House,2008,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+234
Database Essentials Vol. 235,Author 10,9780000000235,Database,DB World,2009,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+235
Cyber Security Essentials Vol. 236,Author 11,9780000000236,Cyber Security,Secure Books,2010,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+236
Cloud Computing Essentials Vol. 237,Author 12,9780000000237,Cloud Computing,Cloud Press,2011,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+237
Fiction Essentials Vol. 238,Author 13,9780000000238,Fiction,Novel House,2012,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+238
History Essentials Vol. 239,Author 14,9780000000239,History,Heritage Press,2013,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+239
Business Essentials Vol. 240,Author 15,9780000000240,Business,Business Media,2014,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+240
Programming Essentials Vol. 241,Author 16,9780000000241,Programming,TechPress,2015,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+241
AI & Machine Learning Essentials Vol. 242,Author 17,9780000000242,AI & Machine Learning,AI Publications,2016,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+242
Data Science Essentials Vol. 243,Author 18,9780000000243,Data Science,Data Insights,2017,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+243
Web Development Essentials Vol. 244,Author 19,9780000000244,Web Development,Web House,2018,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+244
Database Essentials Vol. 245,Author 20,9780000000245,Database,DB World,2019,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+245
Cyber Security Essentials Vol. 246,Author 21,9780000000246,Cyber Security,Secure Books,2020,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+246
Cloud Computing Essentials Vol. 247,Author 22,9780000000247,Cloud Computing,Cloud Press,2021,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+247
Fiction Essentials Vol. 248,Author 23,9780000000248,Fiction,Novel House,2022,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+248
History Essentials Vol. 249,Author 24,9780000000249,History,Heritage Press,2023,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+249
Business Essentials Vol. 250,Author 25,9780000000250,Business,Business Media,2024,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+250
Programming Essentials Vol. 251,Author 26,9780000000251,Programming,TechPress,2000,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+251
AI & Machine Learning Essentials Vol. 252,Author 27,9780000000252,AI & Machine Learning,AI Publications,2001,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+252
Data Science Essentials Vol. 253,Author 28,9780000000253,Data Science,Data Insights,2002,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+253
Web Development Essentials Vol. 254,Author 29,9780000000254,Web Development,Web House,2003,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+254
Database Essentials Vol. 255,Author 30,9780000000255,Database,DB World,2004,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+255
Cyber Security Essentials Vol. 256,Author 31,9780000000256,Cyber Security,Secure Books,2005,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+256
Cloud Computing Essentials Vol. 257,Author 32,9780000000257,Cloud Computing,Cloud Press,2006,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+257
Fiction Essentials Vol. 258,Author 33,9780000000258,Fiction,Novel House,2007,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+258
History Essentials Vol. 259,Author 34,9780000000259,History,Heritage Press,2008,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+259
Business Essentials Vol. 260,Author 35,9780000000260,Business,Business Media,2009,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+260
Programming Essentials Vol. 261,Author 36,9780000000261,Programming,TechPress,2010,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+261
AI & Machine Learning Essentials Vol. 262,Author 37,9780000000262,AI & Machine Learning,AI Publications,2011,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+262
Data Science Essentials Vol. 263,Author 38,9780000000263,Data Science,Data Insights,2012,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+263
Web Development Essentials Vol. 264,Author 39,9780000000264,Web Development,Web House,2013,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+264
Database Essentials Vol. 265,Author 40,9780000000265,Database,DB World,2014,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+265
Cyber Security Essentials Vol. 266,Author 41,9780000000266,Cyber Security,Secure Books,2015,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+266
Cloud Computing Essentials Vol. 267,Author 42,9780000000267,Cloud Computing,Cloud Press,2016,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+267
Fiction Essentials Vol. 268,Author 43,9780000000268,Fiction,Novel House,2017,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+268
History Essentials Vol. 269,Author 44,9780000000269,History,Heritage Press,2018,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+269
Business Essentials Vol. 270,Author 45,9780000000270,Business,Business Media,2019,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+270
Programming Essentials Vol. 271,Author 46,9780000000271,Programming,TechPress,2020,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+271
AI & Machine Learning Essentials Vol. 272,Author 47,9780000000272,AI & Machine Learning,AI Publications,2021,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+272
Data Science Essentials Vol. 273,Author 48,9780000000273,Data Science,Data Insights,2022,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+273
Web Development Essentials Vol. 274,Author 49,9780000000274,Web Development,Web House,2023,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+274
Database Essentials Vol. 275,Author 50,9780000000275,Database,DB World,2024,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+275
Cyber Security Essentials Vol. 276,Author 51,9780000000276,Cyber Security,Secure Books,2000,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+276
Cloud Computing Essentials Vol. 277,Author 52,9780000000277,Cloud Computing,Cloud Press,2001,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+277
Fiction Essentials Vol. 278,Author 53,9780000000278,Fiction,Novel House,2002,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+278
History Essentials Vol. 279,Author 54,9780000000279,History,Heritage Press,2003,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+279
Business Essentials Vol. 280,Author 55,9780000000280,Business,Business Media,2004,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+280
Programming Essentials Vol. 281,Author 56,9780000000281,Programming,TechPress,2005,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+281
AI & Machine Learning Essentials Vol. 282,Author 57,9780000000282,AI & Machine Learning,AI Publications,2006,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+282
Data Science Essentials Vol. 283,Author 58,9780000000283,Data Science,Data Insights,2007,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+283
Web Development Essentials Vol. 284,Author 59,9780000000284,Web Development,Web House,2008,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+284
Database Essentials Vol. 285,Author 60,9780000000285,Database,DB World,2009,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+285
Cyber Security Essentials Vol. 286,Author 61,9780000000286,Cyber Security,Secure Books,2010,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+286
Cloud Computing Essentials Vol. 287,Author 62,9780000000287,Cloud Computing,Cloud Press,2011,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+287
Fiction Essentials Vol. 288,Author 63,9780000000288,Fiction,Novel House,2012,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+288
History Essentials Vol. 289,Author 64,9780000000289,History,Heritage Press,2013,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+289
Business Essentials Vol. 290,Author 65,9780000000290,Business,Business Media,2014,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+290
Programming Essentials Vol. 291,Author 66,9780000000291,Programming,TechPress,2015,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+291
AI & Machine Learning Essentials Vol. 292,Author 67,9780000000292,AI & Machine Learning,AI Publications,2016,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+292
Data Science Essentials Vol. 293,Author 68,9780000000293,Data Science,Data Insights,2017,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+293
Web Development Essentials Vol. 294,Author 69,9780000000294,Web Development,Web House,2018,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+294
Database Essentials Vol. 295,Author 70,9780000000295,Database,DB World,2019,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+295
Cyber Security Essentials Vol. 296,Author 71,9780000000296,Cyber Security,Secure Books,2020,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+296
Cloud Computing Essentials Vol. 297,Author 72,9780000000297,Cloud Computing,Cloud Press,2021,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+297
Fiction Essentials Vol. 298,Author 73,9780000000298,Fiction,Novel House,2022,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+298
History Essentials Vol. 299,Author 74,9780000000299,History,Heritage Press,2023,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+299
Business Essentials Vol. 300,Author 75,9780000000300,Business,Business Media,2024,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+300
Programming Essentials Vol. 301,Author 1,9780000000301,Programming,TechPress,2000,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+301
AI & Machine Learning Essentials Vol. 302,Author 2,9780000000302,AI & Machine Learning,AI Publications,2001,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+302
Data Science Essentials Vol. 303,Author 3,9780000000303,Data Science,Data Insights,2002,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+303
Web Development Essentials Vol. 304,Author 4,9780000000304,Web Development,Web House,2003,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+304
Database Essentials Vol. 305,Author 5,9780000000305,Database,DB World,2004,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+305
Cyber Security Essentials Vol. 306,Author 6,9780000000306,Cyber Security,Secure Books,2005,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+306
Cloud Computing Essentials Vol. 307,Author 7,9780000000307,Cloud Computing,Cloud Press,2006,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+307
Fiction Essentials Vol. 308,Author 8,9780000000308,Fiction,Novel House,2007,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+308
History Essentials Vol. 309,Author 9,9780000000309,History,Heritage Press,2008,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+309
Business Essentials Vol. 310,Author 10,9780000000310,Business,Business Media,2009,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+310
Programming Essentials Vol. 311,Author 11,9780000000311,Programming,TechPress,2010,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+311
AI & Machine Learning Essentials Vol. 312,Author 12,9780000000312,AI & Machine Learning,AI Publications,2011,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+312
Data Science Essentials Vol. 313,Author 13,9780000000313,Data Science,Data Insights,2012,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+313
Web Development Essentials Vol. 314,Author 14,9780000000314,Web Development,Web House,2013,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+314
Database Essentials Vol. 315,Author 15,9780000000315,Database,DB World,2014,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+315
Cyber Security Essentials Vol. 316,Author 16,9780000000316,Cyber Security,Secure Books,2015,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+316
Cloud Computing Essentials Vol. 317,Author 17,9780000000317,Cloud Computing,Cloud Press,2016,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+317
Fiction Essentials Vol. 318,Author 18,9780000000318,Fiction,Novel House,2017,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+318
History Essentials Vol. 319,Author 19,9780000000319,History,Heritage Press,2018,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+319
Business Essentials Vol. 320,Author 20,9780000000320,Business,Business Media,2019,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+320
Programming Essentials Vol. 321,Author 21,9780000000321,Programming,TechPress,2020,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+321
AI & Machine Learning Essentials Vol. 322,Author 22,9780000000322,AI & Machine Learning,AI Publications,2021,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+322
Data Science Essentials Vol. 323,Author 23,9780000000323,Data Science,Data Insights,2022,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+323
Web Development Essentials Vol. 324,Author 24,9780000000324,Web Development,Web House,2023,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+324
Database Essentials Vol. 325,Author 25,9780000000325,Database,DB World,2024,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+325
Cyber Security Essentials Vol. 326,Author 26,9780000000326,Cyber Security,Secure Books,2000,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+326
Cloud Computing Essentials Vol. 327,Author 27,9780000000327,Cloud Computing,Cloud Press,2001,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+327
Fiction Essentials Vol. 328,Author 28,9780000000328,Fiction,Novel House,2002,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+328
History Essentials Vol. 329,Author 29,9780000000329,History,Heritage Press,2003,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+329
Business Essentials Vol. 330,Author 30,9780000000330,Business,Business Media,2004,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+330
Programming Essentials Vol. 331,Author 31,9780000000331,Programming,TechPress,2005,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+331
AI & Machine Learning Essentials Vol. 332,Author 32,9780000000332,AI & Machine Learning,AI Publications,2006,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+332
Data Science Essentials Vol. 333,Author 33,9780000000333,Data Science,Data Insights,2007,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+333
Web Development Essentials Vol. 334,Author 34,9780000000334,Web Development,Web House,2008,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+334
Database Essentials Vol. 335,Author 35,9780000000335,Database,DB World,2009,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+335
Cyber Security Essentials Vol. 336,Author 36,9780000000336,Cyber Security,Secure Books,2010,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+336
Cloud Computing Essentials Vol. 337,Author 37,9780000000337,Cloud Computing,Cloud Press,2011,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+337
Fiction Essentials Vol. 338,Author 38,9780000000338,Fiction,Novel House,2012,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+338
History Essentials Vol. 339,Author 39,9780000000339,History,Heritage Press,2013,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+339
Business Essentials Vol. 340,Author 40,9780000000340,Business,Business Media,2014,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+340
Programming Essentials Vol. 341,Author 41,9780000000341,Programming,TechPress,2015,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+341
AI & Machine Learning Essentials Vol. 342,Author 42,9780000000342,AI & Machine Learning,AI Publications,2016,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+342
Data Science Essentials Vol. 343,Author 43,9780000000343,Data Science,Data Insights,2017,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+343
Web Development Essentials Vol. 344,Author 44,9780000000344,Web Development,Web House,2018,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+344
Database Essentials Vol. 345,Author 45,9780000000345,Database,DB World,2019,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+345
Cyber Security Essentials Vol. 346,Author 46,9780000000346,Cyber Security,Secure Books,2020,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+346
Cloud Computing Essentials Vol. 347,Author 47,9780000000347,Cloud Computing,Cloud Press,2021,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+347
Fiction Essentials Vol. 348,Author 48,9780000000348,Fiction,Novel House,2022,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+348
History Essentials Vol. 349,Author 49,9780000000349,History,Heritage Press,2023,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+349
Business Essentials Vol. 350,Author 50,9780000000350,Business,Business Media,2024,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+350
Programming Essentials Vol. 351,Author 51,9780000000351,Programming,TechPress,2000,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+351
AI & Machine Learning Essentials Vol. 352,Author 52,9780000000352,AI & Machine Learning,AI Publications,2001,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+352
Data Science Essentials Vol. 353,Author 53,9780000000353,Data Science,Data Insights,2002,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+353
Web Development Essentials Vol. 354,Author 54,9780000000354,Web Development,Web House,2003,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+354
Database Essentials Vol. 355,Author 55,9780000000355,Database,DB World,2004,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+355
Cyber Security Essentials Vol. 356,Author 56,9780000000356,Cyber Security,Secure Books,2005,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+356
Cloud Computing Essentials Vol. 357,Author 57,9780000000357,Cloud Computing,Cloud Press,2006,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+357
Fiction Essentials Vol. 358,Author 58,9780000000358,Fiction,Novel House,2007,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+358
History Essentials Vol. 359,Author 59,9780000000359,History,Heritage Press,2008,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+359
Business Essentials Vol. 360,Author 60,9780000000360,Business,Business Media,2009,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+360
Programming Essentials Vol. 361,Author 61,9780000000361,Programming,TechPress,2010,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+361
AI & Machine Learning Essentials Vol. 362,Author 62,9780000000362,AI & Machine Learning,AI Publications,2011,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+362
